[2026-04-01 02:15:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 02:20:09] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 02:25:09] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 02:30:09] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 02:35:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.08
[2026-04-01 02:40:09] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 02:45:09] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 02:50:09] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.03
[2026-04-01 02:55:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.10
[2026-04-01 03:00:09] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 03:05:09] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 03:10:09] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 03:15:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.02
[2026-04-01 03:20:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.02
[2026-04-01 03:25:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 03:30:09] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.06
[2026-04-01 03:35:09] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.01
[2026-04-01 03:40:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 03:45:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 03:50:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 03:55:09] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.00
[2026-04-01 04:00:09] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.03
[2026-04-01 04:05:09] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 04:10:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.00
[2026-04-01 04:15:09] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 04:20:09] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 04:25:09] AEGIS SCAN -> Connexions Actives : 4 | Charge CPU : 0.01
[2026-04-01 04:30:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.08
[2026-04-01 04:35:09] AEGIS SCAN -> Connexions Actives : 3 | Charge CPU : 0.02
[2026-04-01 04:40:09] AEGIS SCAN -> Connexions Actives : 2 | Charge CPU : 0.00
[2026-04-01 04:45:09] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.00
[2026-04-01 04:50:09] AEGIS SCAN -> Connexions Actives : 5 | Charge CPU : 0.08
